"filename", "language", "C++", "CMake", "Dart", "JSON", "HTML", "YAML", "Swift", "Markdown", "XML", "Properties", "Gradle", "comment", "blank", "total"
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, -2, -4, -13
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, -2, -10
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, -68, 0, 0, 0, 0, 0, 0, 0, 0, 0, -68
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -343, 0, 0, 0, -1, -344
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, -4, -16
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, -37, 0, 0, 0, 0, 0, -58, -18, -113
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\test\widget_test.dart", "Dart", 0, 0, -14, 0, 0, 0, 0, 0, 0, 0, 0, -10, -7, -31
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\web\index.html", "HTML", 0, 0, 0, 0, -38, 0, 0, 0, 0, 0, 0, -16, -6, -60
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\web\manifest.json", "JSON", 0, 0, 0, -35, 0, 0, 0, 0, 0, 0, 0, 0, 0, -35
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\windows\CMakeLists.txt", "CMake", 0, -89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -20, -109
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\windows\flutter\CMakeLists.txt", "CMake", 0, -98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -110
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\windows\flutter\generated_plugin_registrant.cc", "C++", -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -5, -12
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\windows\flutter\generated_plugin_registrant.h", "C++", -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -6, -16
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\windows\flutter\generated_plugins.cmake", "CMake", 0, -18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -24
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\windows\runner\CMakeLists.txt", "CMake", 0, -34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -41
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\windows\runner\flutter_window.cpp", "C++", -49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -16, -72
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\windows\runner\flutter_window.h", "C++", -20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -9, -34
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\windows\runner\main.cpp", "C++", -30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -10, -44
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\windows\runner\resource.h", "C++", -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -2, -17
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\windows\runner\utils.cpp", "C++", -54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -10, -66
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\windows\runner\utils.h", "C++", -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -6, -20
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\windows\runner\win32_window.cpp", "C++", -210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -24, -55, -289
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\windows\runner\win32_window.h", "C++", -48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -31, -24, -103
"Total", "-", -531, -454, -14, -248, -38, -59, -50, -13, -465, -8, -101, -287, -376, -2644
